region,tenure,age,marital,address,income,ed,employ,retire,gender,reside,tollfree,equip,callcard,wireless,longmon,tollmon,equipmon,cardmon,wiremon,longten,tollten,equipten,cardten,wireten,multline,voice,pager,internet,callid,callwait,forward,confer,ebill,loglong,logtoll,logequi,logcard,logwire,lninc,custcat,churn
Zone 2,1,24,Unmarried,3,20,Did not complete high school,3,No,Male,1,No,No,No,No,1.05,0,0,0,0,1.05,0,0,0,0,No,No,No,No,No,No,No,No,No,0.05,,,,,3,Basic service,No
Zone 1,26,29,Married,3,77,College degree,2,No,Male,4,No,Yes,Yes,Yes,6.7,0,48.1,24.25,38.3,140.95,0,1132.8,610,910.1,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,1.9,,3.87,3.19,3.65,4.34,Total service,Yes
Zone 3,6,30,Unmarried,7,16,Some college,1,No,Female,1,No,Yes,No,Yes,3.75,0,33.8,0,18.7,25.65,0,175.3,0,78.2,Yes,No,Yes,Yes,No,Yes,No,No,No,1.32,,3.52,,2.93,2.77,E-service,Yes
Zone 1,68,52,Married,17,120,Did not complete high school,24,No,Male,2,No,No,Yes,No,20.7,0,0,22,0,1391.05,0,0,1505,0,No,No,No,No,No,No,Yes,No,No,3.03,,,3.09,,4.79,Basic service,No
Zone 3,53,33,Unmarried,10,101,Post-undergraduate degree,4,No,Female,2,No,Yes,Yes,Yes,5.3,0,49.6,26.75,51.4,253.35,0,2499.8,1340,2645.15,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes,1.67,,3.9,3.29,3.94,4.62,Total service,No
Zone 3,55,48,Married,19,67,Did not complete high school,25,No,Male,3,No,No,Yes,No,15.05,0,0,27.25,0,810.45,0,0,1390,0,No,No,No,No,No,No,No,No,No,2.71,,,3.31,,4.2,Basic service,No
Zone 3,14,43,Married,18,36,Did not complete high school,5,No,Male,5,Yes,No,Yes,No,12.5,19.75,0,18,0,153.75,273.75,0,215,0,No,No,No,No,Yes,Yes,Yes,Yes,No,2.53,2.98,,2.89,,3.58,Plus service,No
Zone 2,1,21,Unmarried,0,33,High school degree,0,No,Female,3,Yes,No,Yes,No,2.2,20.75,0,40.5,0,2.2,20.75,0,40.5,0,No,No,No,No,No,Yes,Yes,Yes,No,0.79,3.03,,3.7,,3.5,Plus service,No
Zone 2,42,40,Unmarried,7,37,High school degree,8,No,Female,1,Yes,Yes,Yes,Yes,8.25,23.5,36.9,28,37.4,399.15,950.65,1532.9,1190,1562,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,2.11,3.16,3.61,3.33,3.62,3.61,Total service,No
Zone 3,25,33,Married,11,31,Did not complete high school,5,No,Male,4,No,No,No,No,9.1,0,0,0,0,234.95,0,0,0,0,Yes,No,No,No,Yes,No,Yes,No,No,2.21,,,,,3.43,Plus service,No
Zone 1,9,21,Married,1,17,High school degree,2,No,Female,3,No,No,No,No,2.9,0,0,0,0,25.25,0,0,0,0,No,No,No,No,Yes,No,No,No,No,1.06,,,,,2.83,Basic service,No
Zone 2,13,33,Married,9,19,College degree,0,No,Female,2,No,Yes,No,No,5.55,0,27.35,0,0,75.25,0,330.65,0,0,Yes,No,No,Yes,No,No,No,Yes,Yes,1.71,,3.31,,,2.94,E-service,No
Zone 1,56,37,Married,6,36,Did not complete high school,13,No,Female,2,No,Yes,Yes,No,10.6,0,31.1,18.25,0,582.6,0,1756.35,1005,0,Yes,No,No,Yes,No,No,No,No,Yes,2.36,,3.44,2.9,,3.58,E-service,No
Zone 1,71,53,Married,27,155,Post-undergraduate degree,12,No,Male,2,Yes,No,Yes,Yes,21,56,0,34,49.95,1519.2,4064.3,0,2345,3646.9,Yes,Yes,No,Yes,No,No,Yes,Yes,Yes,3.04,4.03,,3.53,3.91,5.04,Total service,No
Zone 1,35,50,Married,26,140,High school degree,21,No,Female,4,Yes,No,Yes,No,6.5,27.5,0,35,0,247.55,1068.25,0,1215,0,No,No,No,No,No,Yes,Yes,Yes,No,1.87,3.31,,3.56,,4.94,Plus service,No
Zone 1,11,27,Married,8,55,Post-undergraduate degree,0,No,Male,3,No,Yes,No,No,4.8,0,19.55,0,0,54.1,0,220.4,0,0,Yes,No,No,Yes,No,No,No,No,No,1.57,,2.97,,,4.01,E-service,No
Zone 2,60,46,Married,13,163,Some college,24,No,Male,2,Yes,Yes,Yes,Yes,33.9,38.25,44.65,13.75,55.25,1947.95,2326.35,2645.85,840,3125.95,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,3.52,3.64,3.8,2.62,4.01,5.09,Total service,No
Zone 3,20,35,Married,11,52,College degree,0,No,Male,2,No,Yes,No,No,4.25,0,30.55,0,0,82.7,0,547.15,0,0,Yes,No,No,Yes,No,No,No,No,Yes,1.45,,3.42,,,3.95,E-service,Yes
Zone 2,54,60,Unmarried,38,211,College degree,25,No,Male,1,Yes,Yes,Yes,Yes,21.15,39.25,46.35,54.25,54.85,1228.7,2102.25,2421.3,2785,2895.85,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,3.05,3.67,3.84,3.99,4,5.35,Total service,No
Zone 1,44,57,Married,1,186,High school degree,17,No,Male,2,Yes,No,Yes,Yes,9.8,33.5,0,36,41.65,428.25,1379.55,0,1535,1826.7,Yes,Yes,No,No,Yes,Yes,Yes,Yes,No,2.28,3.51,,3.58,3.73,5.23,Plus service,No
Zone 1,11,41,Married,0,39,Did not complete high school,1,No,Female,2,Yes,No,Yes,No,6.55,29.25,0,19.75,0,67.8,303.65,0,200,0,No,Yes,No,No,Yes,Yes,Yes,Yes,No,1.88,3.38,,2.98,,3.66,Plus service,Yes
Zone 2,72,57,Unmarried,34,22,High school degree,35,Yes,Female,1,Yes,No,Yes,No,41.75,49,0,18.75,0,3043.05,3581,0,1360,0,Yes,No,No,No,Yes,Yes,Yes,Yes,No,3.73,3.89,,2.93,,3.09,Plus service,No
Zone 3,10,41,Unmarried,7,30,Did not complete high school,7,No,Male,1,Yes,No,Yes,No,2.5,19.25,0,53.75,0,31.25,178.2,0,490,0,No,No,No,No,Yes,Yes,Yes,Yes,No,0.92,2.96,,3.98,,3.4,Plus service,No
Zone 2,15,28,Unmarried,0,29,High school degree,4,No,Female,1,Yes,No,Yes,No,4.25,30,0,17.75,0,78,426.05,0,255,0,No,No,No,No,Yes,Yes,Yes,Yes,No,1.45,3.4,,2.88,,3.37,Plus service,No
Zone 2,27,28,Married,4,23,High school degree,8,No,Male,5,No,No,No,No,6.2,0,0,0,0,180.15,0,0,0,0,No,No,No,No,Yes,No,No,No,No,1.82,,,,,3.14,Basic service,No
Zone 1,9,36,Married,14,62,College degree,10,No,Male,6,No,Yes,No,Yes,5.65,0,46.75,0,48.5,43.3,0,386.6,0,364.85,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,1.73,,3.84,,3.88,4.13,Total service,Yes
Zone 1,64,43,Married,20,76,College degree,20,No,Female,4,Yes,No,Yes,No,14.7,18.75,0,11,0,897.05,1279.25,0,680,0,Yes,No,No,No,Yes,Yes,No,Yes,No,2.69,2.93,,2.4,,4.33,Plus service,No
Zone 1,65,41,Married,3,74,College degree,16,No,Male,2,No,Yes,Yes,No,14.5,0,37,17,0,963.3,0,2263.05,1065,0,Yes,Yes,No,Yes,No,No,No,No,Yes,2.67,,3.61,2.83,,4.3,E-service,No
Zone 1,49,51,Married,27,63,College degree,19,No,Male,5,Yes,No,Yes,No,12.85,25.75,0,14.25,0,585.6,1278.45,0,635,0,Yes,No,No,Yes,No,Yes,No,No,Yes,2.55,3.25,,2.66,,4.14,E-service,No
Zone 3,47,41,Married,0,36,College degree,8,No,Male,2,No,Yes,Yes,Yes,7.75,0,37.45,18.5,38.8,361,0,1717.75,845,1730.4,Yes,No,Yes,Yes,No,Yes,No,Yes,Yes,2.05,,3.62,2.92,3.66,3.58,Total service,Yes
Zone 3,9,34,Married,9,33,High school degree,8,No,Female,4,No,Yes,No,No,2.95,0,22.95,0,0,18.9,0,208.55,0,0,No,No,No,No,No,No,No,No,No,1.08,,3.13,,,3.5,Basic service,Yes
Zone 1,5,36,Unmarried,14,29,High school degree,9,No,Female,1,Yes,No,Yes,Yes,3.25,31.5,0,15.5,26.75,16.8,154.65,0,60,98.6,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,1.18,3.45,,2.74,3.29,3.37,Plus service,Yes
Zone 2,30,34,Married,4,27,High school degree,1,No,Male,5,No,Yes,No,No,6.3,0,22.5,0,0,150.9,0,690.75,0,0,No,No,No,Yes,No,No,No,No,No,1.84,,3.11,,,3.3,Basic service,Yes
Zone 1,56,52,Married,28,49,High school degree,12,No,Male,4,No,No,Yes,No,24.75,0,0,22.25,0,1349.05,0,0,1215,0,Yes,No,No,No,No,No,No,No,No,3.21,,,3.1,,3.89,E-service,No
Zone 3,10,22,Unmarried,0,24,College degree,0,No,Male,1,Yes,Yes,Yes,Yes,7.8,23.75,37.25,22.5,30.05,63,222.55,330.4,185,306.3,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,2.05,3.17,3.62,3.11,3.4,3.18,Total service,No
Zone 1,7,26,Married,3,26,High school degree,2,No,Male,5,Yes,No,No,No,4.85,15.5,0,0,0,33.7,136.55,0,0,0,No,No,No,No,No,Yes,No,No,No,1.58,2.74,,,,3.26,Basic service,No
Zone 1,52,27,Unmarried,6,47,Some college,5,No,Male,2,Yes,No,Yes,No,6.25,18.5,0,14.25,0,330.4,942.65,0,725,0,No,No,No,No,Yes,No,No,No,Yes,1.83,2.92,,2.66,,3.85,Basic service,No
Zone 2,36,45,Married,1,94,High school degree,18,No,Female,5,Yes,Yes,No,No,7.2,15.75,28.35,0,0,258.75,553.8,1043.8,0,0,No,No,Yes,Yes,Yes,No,No,Yes,No,1.97,2.76,3.34,,,4.54,Basic service,Yes
Zone 3,27,34,Unmarried,8,21,Some college,4,No,Female,1,No,No,No,No,7.65,0,0,0,0,213.45,0,0,0,0,Yes,No,No,No,No,No,No,No,No,2.03,,,,,3.04,E-service,No
Zone 1,58,62,Married,36,27,Did not complete high school,0,No,Male,2,No,No,Yes,No,15.5,0,0,34.5,0,967.1,0,0,1910,0,No,No,No,No,No,No,No,No,No,2.74,,,3.54,,3.3,Basic service,No
Zone 2,41,52,Unmarried,27,30,High school degree,2,No,Female,1,Yes,No,Yes,Yes,10.4,28,0,19,27.5,447.85,1152,0,800,1036.65,No,No,No,No,Yes,Yes,Yes,Yes,No,2.34,3.33,,2.94,3.31,3.4,Plus service,No
Zone 2,47,40,Married,16,127,College degree,12,No,Female,4,No,Yes,Yes,No,19.7,0,28.15,14.75,0,909.9,0,1319.7,680,0,Yes,No,No,Yes,No,No,No,No,Yes,2.98,,3.34,2.69,,4.84,E-service,No
Zone 2,55,39,Married,15,137,High school degree,20,No,Female,2,Yes,No,Yes,No,12.7,27.5,0,11.5,0,676.9,1505.2,0,620,0,No,Yes,No,No,Yes,Yes,Yes,Yes,No,2.54,3.31,,2.44,,4.92,Plus service,Yes
Zone 2,56,50,Married,1,80,High school degree,24,No,Female,4,Yes,No,Yes,Yes,28.8,55.5,0,21.25,61.1,1558.1,3119.45,0,1065,3268.05,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,3.36,4.02,,3.06,4.11,4.38,Total service,No
Zone 3,35,55,Unmarried,24,30,High school degree,2,No,Male,1,No,No,Yes,No,10.25,0,0,15.75,0,395.85,0,0,550,0,No,No,No,No,No,No,No,No,No,2.33,,,2.76,,3.4,Basic service,No
Zone 2,69,51,Married,11,438,College degree,23,No,Female,2,No,Yes,Yes,No,29,0,47.05,24.75,0,1815.4,0,3064.15,1655,0,Yes,No,Yes,Yes,Yes,No,No,Yes,No,3.37,,3.85,3.21,,6.08,Total service,No
Zone 2,44,39,Unmarried,16,79,High school degree,16,No,Male,1,Yes,Yes,Yes,Yes,15.25,24.5,37.45,27.25,30.05,653.7,1037.45,1610.1,1110,1280,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,2.72,3.2,3.62,3.31,3.4,4.37,Total service,Yes
Zone 3,36,47,Married,16,63,Did not complete high school,23,No,Male,2,No,No,Yes,No,9.05,0,0,6.75,0,373.65,0,0,220,0,No,No,No,No,No,No,No,No,No,2.2,,,1.91,,4.14,Basic service,No
Zone 3,28,51,Married,22,40,Some college,10,No,Female,6,Yes,No,No,No,8.95,21.25,0,0,0,253.55,586.95,0,0,0,No,No,No,No,Yes,Yes,Yes,Yes,No,2.19,3.06,,,,3.69,Plus service,No
Zone 1,72,67,Married,44,51,Did not complete high school,34,Yes,Male,2,Yes,No,Yes,No,57.05,51.5,0,19.25,0,4168.25,3657.9,0,1345,0,Yes,No,No,No,Yes,Yes,Yes,Yes,No,4.04,3.94,,2.96,,3.93,Plus service,No
Zone 1,16,27,Unmarried,5,37,Some college,5,No,Male,4,No,No,No,No,6,0,0,0,0,80.7,0,0,0,0,No,No,No,No,No,No,No,No,No,1.79,,,,,3.61,Basic service,No
Zone 3,3,43,Unmarried,19,61,College degree,11,No,Female,1,No,Yes,Yes,Yes,3.15,0,27.25,16.25,17.95,7.9,0,53.25,20,38.2,No,No,No,Yes,Yes,No,No,Yes,Yes,1.15,,3.31,2.79,2.89,4.11,Basic service,Yes
Zone 1,40,57,Married,15,22,High school degree,9,No,Male,2,No,No,Yes,No,8.55,0,0,19.75,0,381.5,0,0,710,0,No,No,No,No,No,No,No,No,No,2.15,,,2.98,,3.09,Basic service,No
Zone 3,16,39,Unmarried,6,44,College degree,3,No,Female,1,No,Yes,No,No,6.6,0,23.3,0,0,96.3,0,350.15,0,0,Yes,No,No,Yes,No,No,No,No,Yes,1.89,,3.15,,,3.78,E-service,No
Zone 1,20,42,Unmarried,4,17,Some college,5,No,Male,1,No,No,No,No,7.8,0,0,0,0,175.85,0,0,0,0,No,No,No,No,No,No,No,No,No,2.05,,,,,2.83,Basic service,No
Zone 2,48,43,Unmarried,13,110,Post-undergraduate degree,15,No,Female,3,No,Yes,No,Yes,7.25,0,33.5,0,20.65,359.35,0,1572.7,0,1010.4,Yes,Yes,No,Yes,No,No,No,No,Yes,1.98,,3.51,,3.03,4.7,E-service,No
Zone 2,64,48,Married,13,91,High school degree,24,No,Male,2,Yes,No,Yes,Yes,24.5,24.75,0,12.5,29.65,1531.9,1569.25,0,780,1875.95,Yes,No,No,No,Yes,Yes,Yes,Yes,No,3.2,3.21,,2.53,3.39,4.51,Plus service,No
Zone 1,8,46,Unmarried,3,46,High school degree,8,No,Male,1,No,Yes,No,No,3.15,0,25.05,0,0,16.65,0,172.05,0,0,No,No,Yes,Yes,No,No,No,No,Yes,1.15,,3.22,,,3.83,Basic service,No
Zone 1,40,38,Married,10,85,Some college,12,No,Male,2,No,No,No,No,10.6,0,0,0,0,384.8,0,0,0,0,No,No,No,No,Yes,Yes,Yes,Yes,No,2.36,,,,,4.44,Plus service,Yes
Zone 2,38,71,Unmarried,27,10,High school degree,12,Yes,Male,1,No,No,No,No,11.2,0,0,0,0,429.85,0,0,0,0,No,No,No,No,No,No,No,Yes,No,2.42,,,,,2.3,Basic service,No
Zone 1,67,68,Unmarried,28,244,Did not complete high school,47,No,Female,1,Yes,No,Yes,No,30.25,30.25,0,30.75,0,2186.2,2036.15,0,2105,0,No,Yes,No,No,Yes,Yes,Yes,Yes,No,3.41,3.41,,3.43,,5.5,Plus service,No
Zone 1,26,42,Unmarried,0,80,College degree,15,No,Female,1,Yes,Yes,Yes,Yes,7.85,44,49.6,10.5,43.75,196.65,1123.25,1159.35,250,1176.55,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,2.06,3.78,3.9,2.35,3.78,4.38,Total service,No
Zone 3,41,34,Married,15,83,Post-undergraduate degree,1,No,Female,2,Yes,No,Yes,No,8.9,33.75,0,5.75,0,379.55,1404.45,0,220,0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,2.19,3.52,,1.75,,4.42,Total service,No
Zone 2,2,31,Unmarried,2,21,Did not complete high school,6,No,Male,1,No,Yes,No,No,1.65,0,21.6,0,0,3.2,0,17.25,0,0,No,No,No,No,No,No,No,Yes,No,0.5,,3.07,,,3.04,Basic service,Yes
Zone 3,20,48,Married,29,24,High school degree,3,No,Male,2,Yes,No,Yes,No,11.85,22.5,0,35,0,230.7,452.75,0,675,0,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,2.47,3.11,,3.56,,3.18,Total service,Yes
Zone 2,31,53,Unmarried,2,351,Some college,31,No,Female,1,Yes,No,Yes,No,5.5,31.5,0,19.25,0,185.3,1009.9,0,585,0,No,No,Yes,No,Yes,Yes,Yes,Yes,No,1.7,3.45,,2.96,,5.86,Plus service,No
Zone 2,45,52,Married,4,169,College degree,29,No,Female,4,No,Yes,Yes,No,14.65,0,40.45,14.25,0,618.15,0,1820.4,690,0,Yes,No,No,Yes,No,No,No,No,No,2.68,,3.7,2.66,,5.13,E-service,No
Zone 2,33,27,Married,7,46,High school degree,7,No,Male,4,No,Yes,No,No,7.25,0,29.15,0,0,243.35,0,923.85,0,0,No,No,No,No,No,No,No,No,Yes,1.98,,3.37,,,3.83,Basic service,No
Zone 1,10,26,Unmarried,6,34,Some college,3,No,Male,1,No,Yes,No,No,4.85,0,27.7,0,0,41.85,0,223.05,0,0,Yes,No,No,No,No,No,No,No,No,1.58,,3.32,,,3.53,E-service,No
Zone 2,62,54,Married,2,50,College degree,3,No,Male,2,No,Yes,Yes,Yes,17.25,0,48,87.5,33.25,1067.8,0,2864.15,5455,2022.55,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,2.85,,3.87,4.47,3.5,3.91,Total service,Yes
Zone 2,4,35,Unmarried,16,161,Post-undergraduate degree,6,No,Female,1,Yes,Yes,No,Yes,3.4,23.75,49.8,0,35.75,10.35,103.1,126.95,0,135.25,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,1.22,3.17,3.91,,3.58,5.08,Total service,Yes
Zone 1,42,47,Married,17,212,College degree,17,No,Male,2,Yes,No,Yes,No,7.45,26.75,0,24.75,0,320.9,1163.55,0,1035,0,No,No,No,No,Yes,Yes,Yes,No,No,2.01,3.29,,3.21,,5.36,Plus service,No
Zone 3,27,51,Married,3,80,Post-undergraduate degree,11,No,Male,3,No,Yes,No,No,7.1,0,39.4,0,0,176.2,0,1086.65,0,0,Yes,No,Yes,Yes,No,No,No,No,Yes,1.96,,3.67,,,4.38,E-service,No
Zone 2,38,42,Unmarried,1,30,College degree,7,No,Female,1,Yes,No,No,No,13.2,27.5,0,0,0,495.85,1087.9,0,0,0,No,No,No,No,No,Yes,No,No,No,2.58,3.31,,,,3.4,Basic service,No
Zone 3,52,61,Married,3,53,Post-undergraduate degree,1,No,Female,2,No,Yes,Yes,Yes,12.25,0,38.4,8.75,35.95,631.7,0,1884.1,465,1971.35,Yes,Yes,No,Yes,No,No,No,Yes,Yes,2.51,,3.65,2.17,3.58,3.97,E-service,No
Zone 3,35,33,Unmarried,9,73,Post-undergraduate degree,4,No,Female,1,Yes,No,Yes,Yes,5.85,38.25,0,22.25,40.35,216.6,1337.6,0,700,1423.8,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,1.77,3.64,,3.1,3.7,4.29,Total service,No
Zone 3,3,20,Married,1,17,High school degree,0,No,Female,4,No,No,No,No,3.75,0,0,0,0,12.3,0,0,0,0,No,No,No,No,No,No,No,No,Yes,1.32,,,,,2.83,Basic service,Yes
Zone 2,17,33,Unmarried,9,23,Post-undergraduate degree,3,No,Male,1,No,Yes,Yes,Yes,10.2,0,36.4,14.5,30.9,196.3,0,570.9,220,529.25,Yes,Yes,No,Yes,Yes,Yes,No,No,Yes,2.32,,3.59,2.67,3.43,3.14,Total service,Yes
Zone 1,55,53,Married,21,34,Did not complete high school,8,No,Male,2,No,No,No,No,5.7,0,0,0,0,304.4,0,0,0,0,No,No,No,No,No,Yes,Yes,Yes,No,1.74,,,,,3.53,Plus service,No
Zone 3,43,36,Married,5,107,Did not complete high school,19,No,Female,3,Yes,No,Yes,No,11.55,12.75,0,21.5,0,491.55,583.75,0,910,0,Yes,No,No,No,No,No,No,No,No,2.45,2.55,,3.07,,4.67,E-service,Yes
Zone 2,47,25,Married,5,21,Did not complete high school,1,No,Female,2,Yes,No,Yes,No,8.65,30.5,0,9,0,426.6,1465.45,0,405,0,No,No,No,No,No,Yes,Yes,Yes,No,2.16,3.42,,2.2,,3.04,Plus service,Yes
Zone 3,65,58,Unmarried,30,83,High school degree,16,No,Female,1,No,No,Yes,No,19.3,0,0,22.75,0,1323.2,0,0,1370,0,Yes,No,No,No,No,Yes,No,No,No,2.96,,,3.12,,4.42,E-service,No
Zone 1,13,20,Unmarried,1,17,Some college,0,No,Male,5,No,Yes,Yes,No,3.05,0,31.3,14,0,40.3,0,390.6,155,0,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,1.12,,3.44,2.64,,2.83,Total service,No
Zone 3,64,25,Married,4,76,Some college,2,No,Female,6,No,Yes,Yes,No,24.05,0,35.4,21.25,0,1536.55,0,2288.45,1400,0,Yes,No,No,No,Yes,No,Yes,Yes,Yes,3.18,,3.57,3.06,,4.33,Plus service,No
Zone 2,12,24,Unmarried,2,19,Did not complete high school,0,No,Male,1,Yes,No,Yes,No,4,24.75,0,27.25,0,46,299,0,295,0,No,No,No,No,Yes,Yes,Yes,Yes,No,1.39,3.21,,3.31,,2.94,Plus service,Yes
Zone 1,29,32,Married,0,49,College degree,3,No,Female,3,No,Yes,No,No,6.7,0,33,0,0,187,0,918.25,0,0,Yes,No,Yes,Yes,No,No,No,No,Yes,1.9,,3.5,,,3.89,E-service,Yes
Zone 2,23,47,Unmarried,21,173,Some college,22,No,Female,1,No,No,No,No,7.6,0,0,0,0,145.9,0,0,0,0,Yes,No,No,No,Yes,No,No,Yes,Yes,2.03,,,,,5.15,E-service,No
Zone 2,14,35,Unmarried,4,47,Some college,10,No,Female,1,Yes,No,No,Yes,5,21.75,0,0,24.15,76.2,318.2,0,0,274,Yes,No,No,No,No,No,Yes,Yes,Yes,1.61,3.08,,,3.18,3.85,E-service,Yes
Zone 1,35,61,Unmarried,23,41,High school degree,11,No,Male,1,No,No,Yes,No,9.6,0,0,9.5,0,353.55,0,0,295,0,No,No,No,No,No,No,No,No,No,2.26,,,2.25,,3.71,Basic service,No
Zone 3,26,39,Unmarried,8,105,Some college,13,No,Female,1,Yes,No,Yes,Yes,6.6,39.75,0,37.25,38.25,159.7,1022.45,0,1005,885.1,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,1.89,3.68,,3.62,3.64,4.65,Total service,No
Zone 1,13,54,Unmarried,2,31,College degree,2,No,Male,1,No,No,No,No,5.85,0,0,0,0,97,0,0,0,0,No,Yes,No,Yes,No,No,No,No,Yes,1.77,,,,,3.43,Basic service,No
Zone 2,69,40,Married,13,41,High school degree,17,No,Male,3,No,No,Yes,No,25.25,0,0,33,0,1725.1,0,0,2320,0,Yes,No,No,No,No,No,No,No,No,3.23,,,3.5,,3.71,E-service,No
